A	B	GO_BMA	A_name	B_name
hsa04933	hsa04151	0.938	AGE-RAGE signaling pathway in diabetic complications	PI3K-Akt signaling pathway
hsa04933	hsa04380	0.946	AGE-RAGE signaling pathway in diabetic complications	Osteoclast differentiation
hsa04933	hsa04510	0.934	AGE-RAGE signaling pathway in diabetic complications	Focal adhesion
hsa04933	hsa04620	0.934	AGE-RAGE signaling pathway in diabetic complications	Toll-like receptor signaling pathway
hsa04933	hsa04668	0.943	AGE-RAGE signaling pathway in diabetic complications	TNF signaling pathway
hsa04933	hsa04926	0.953	AGE-RAGE signaling pathway in diabetic complications	Relaxin signaling pathway
hsa04933	hsa05135	0.941	AGE-RAGE signaling pathway in diabetic complications	Yersinia infection
hsa04933	hsa05142	0.946	AGE-RAGE signaling pathway in diabetic complications	Chagas disease
hsa04933	hsa05146	0.936	AGE-RAGE signaling pathway in diabetic complications	Amoebiasis
hsa04933	hsa05161	0.955	AGE-RAGE signaling pathway in diabetic complications	Hepatitis B
hsa04933	hsa05163	0.935	AGE-RAGE signaling pathway in diabetic complications	Human cytomegalovirus infection
hsa04933	hsa05167	0.937	AGE-RAGE signaling pathway in diabetic complications	Kaposi sarcoma-associated herpesvirus infection
hsa04933	hsa05200	0.936	AGE-RAGE signaling pathway in diabetic complications	Pathways in cancer
hsa04933	hsa05205	0.939	AGE-RAGE signaling pathway in diabetic complications	Proteoglycans in cancer
hsa04933	hsa05210	0.938	AGE-RAGE signaling pathway in diabetic complications	Colorectal cancer
hsa04933	hsa05212	0.952	AGE-RAGE signaling pathway in diabetic complications	Pancreatic cancer
hsa04933	hsa05220	0.938	AGE-RAGE signaling pathway in diabetic complications	Chronic myeloid leukemia
hsa04933	hsa05417	0.936	AGE-RAGE signaling pathway in diabetic complications	Lipid and atherosclerosis
hsa04933	hsa05418	0.938	AGE-RAGE signaling pathway in diabetic complications	Fluid shear stress and atherosclerosis
hsa04934	hsa04010	0.918	Cushing syndrome	MAPK signaling pathway
hsa04934	hsa04310	0.938	Cushing syndrome	Wnt signaling pathway
hsa04934	hsa04390	0.914	Cushing syndrome	Hippo signaling pathway
hsa04934	hsa04550	0.919	Cushing syndrome	Signaling pathways regulating pluripotency of stem cells
hsa04934	hsa04912	0.914	Cushing syndrome	GnRH signaling pathway
hsa04934	hsa04915	0.913	Cushing syndrome	Estrogen signaling pathway
hsa04934	hsa04916	0.943	Cushing syndrome	Melanogenesis
hsa04934	hsa04921	0.916	Cushing syndrome	Oxytocin signaling pathway
hsa04934	hsa04925	0.921	Cushing syndrome	Aldosterone synthesis and secretion
hsa04934	hsa04927	0.915	Cushing syndrome	Cortisol synthesis and secretion
hsa04934	hsa04928	0.93	Cushing syndrome	Parathyroid hormone synthesis, secretion and action
hsa04934	hsa04935	0.919	Cushing syndrome	Growth hormone synthesis, secretion and action
hsa04934	hsa05163	0.92	Cushing syndrome	Human cytomegalovirus infection
hsa04934	hsa05200	0.921	Cushing syndrome	Pathways in cancer
hsa04934	hsa05205	0.919	Cushing syndrome	Proteoglycans in cancer
hsa04934	hsa05207	0.915	Cushing syndrome	Chemical carcinogenesis - receptor activation
hsa04934	hsa05215	0.914	Cushing syndrome	Prostate cancer
hsa04934	hsa05224	0.931	Cushing syndrome	Breast cancer
hsa04934	hsa05225	0.925	Cushing syndrome	Hepatocellular carcinoma
hsa04934	hsa05226	0.928	Cushing syndrome	Gastric cancer
hsa04936	hsa04064	0.92	Alcoholic liver disease	NF-kappa B signaling pathway
hsa04936	hsa04380	0.917	Alcoholic liver disease	Osteoclast differentiation
hsa04936	hsa04620	0.937	Alcoholic liver disease	Toll-like receptor signaling pathway
hsa04936	hsa04621	0.921	Alcoholic liver disease	NOD-like receptor signaling pathway
hsa04936	hsa04657	0.924	Alcoholic liver disease	IL-17 signaling pathway
hsa04936	hsa04668	0.932	Alcoholic liver disease	TNF signaling pathway
hsa04936	hsa04932	0.927	Alcoholic liver disease	Non-alcoholic fatty liver disease
hsa04936	hsa05133	0.915	Alcoholic liver disease	Pertussis
hsa04936	hsa05135	0.917	Alcoholic liver disease	Yersinia infection
hsa04936	hsa05142	0.925	Alcoholic liver disease	Chagas disease
hsa04936	hsa05145	0.914	Alcoholic liver disease	Toxoplasmosis
hsa04936	hsa05152	0.915	Alcoholic liver disease	Tuberculosis
hsa04936	hsa05160	0.931	Alcoholic liver disease	Hepatitis C
hsa04936	hsa05161	0.933	Alcoholic liver disease	Hepatitis B
hsa04936	hsa05162	0.93	Alcoholic liver disease	Measles
hsa04936	hsa05164	0.919	Alcoholic liver disease	Influenza A
hsa04936	hsa05167	0.921	Alcoholic liver disease	Kaposi sarcoma-associated herpesvirus infection
hsa04936	hsa05168	0.934	Alcoholic liver disease	Herpes simplex virus 1 infection
hsa04936	hsa05169	0.92	Alcoholic liver disease	Epstein-Barr virus infection
hsa04936	hsa05417	0.926	Alcoholic liver disease	Lipid and atherosclerosis
hsa04940	hsa04060	0.854	Type I diabetes mellitus	Cytokine-cytokine receptor interaction
hsa04940	hsa04514	0.856	Type I diabetes mellitus	Cell adhesion molecules
hsa04940	hsa04612	0.896	Type I diabetes mellitus	Antigen processing and presentation
hsa04940	hsa04640	0.886	Type I diabetes mellitus	Hematopoietic cell lineage
hsa04940	hsa04650	0.841	Type I diabetes mellitus	Natural killer cell mediated cytotoxicity
hsa04940	hsa04658	0.847	Type I diabetes mellitus	Th1 and Th2 cell differentiation
hsa04940	hsa04672	0.889	Type I diabetes mellitus	Intestinal immune network for IgA production
hsa04940	hsa05134	0.854	Type I diabetes mellitus	Legionellosis
hsa04940	hsa05140	0.868	Type I diabetes mellitus	Leishmaniasis
hsa04940	hsa05144	0.842	Type I diabetes mellitus	Malaria
hsa04940	hsa05150	0.857	Type I diabetes mellitus	Staphylococcus aureus infection
hsa04940	hsa05164	0.843	Type I diabetes mellitus	Influenza A
hsa04940	hsa05310	0.892	Type I diabetes mellitus	Asthma
hsa04940	hsa05320	0.928	Type I diabetes mellitus	Autoimmune thyroid disease
hsa04940	hsa05321	0.882	Type I diabetes mellitus	Inflammatory bowel disease
hsa04940	hsa05322	0.867	Type I diabetes mellitus	Systemic lupus erythematosus
hsa04940	hsa05323	0.867	Type I diabetes mellitus	Rheumatoid arthritis
hsa04940	hsa05330	0.964	Type I diabetes mellitus	Allograft rejection
hsa04940	hsa05332	0.96	Type I diabetes mellitus	Graft-versus-host disease
hsa04940	hsa05416	0.852	Type I diabetes mellitus	Viral myocarditis
hsa04950	hsa04911	0.743	Maturity onset diabetes of the young	Insulin secretion
hsa04950	hsa04922	0.762	Maturity onset diabetes of the young	Glucagon signaling pathway
hsa05010	hsa04010	0.926	Alzheimer disease	MAPK signaling pathway
hsa05010	hsa04210	0.906	Alzheimer disease	Apoptosis
hsa05010	hsa04310	0.904	Alzheimer disease	Wnt signaling pathway
hsa05010	hsa04932	0.914	Alzheimer disease	Non-alcoholic fatty liver disease
hsa05010	hsa05012	0.935	Alzheimer disease	Parkinson disease
hsa05010	hsa05014	0.943	Alzheimer disease	Amyotrophic lateral sclerosis
hsa05010	hsa05016	0.932	Alzheimer disease	Huntington disease
hsa05010	hsa05017	0.905	Alzheimer disease	Spinocerebellar ataxia
hsa05010	hsa05020	0.952	Alzheimer disease	Prion disease
hsa05010	hsa05022	0.979	Alzheimer disease	Pathways of neurodegeneration - multiple diseases
hsa05010	hsa05132	0.916	Alzheimer disease	Salmonella infection
hsa05010	hsa05160	0.909	Alzheimer disease	Hepatitis C
hsa05010	hsa05163	0.924	Alzheimer disease	Human cytomegalovirus infection
hsa05010	hsa05167	0.918	Alzheimer disease	Kaposi sarcoma-associated herpesvirus infection
hsa05010	hsa05168	0.909	Alzheimer disease	Herpes simplex virus 1 infection
hsa05010	hsa05208	0.912	Alzheimer disease	Chemical carcinogenesis - reactive oxygen species
hsa05010	hsa05225	0.902	Alzheimer disease	Hepatocellular carcinoma
hsa05010	hsa05415	0.928	Alzheimer disease	Diabetic cardiomyopathy
hsa05010	hsa05417	0.929	Alzheimer disease	Lipid and atherosclerosis
hsa05010	hsa05418	0.911	Alzheimer disease	Fluid shear stress and atherosclerosis
hsa05012	hsa04137	0.854	Parkinson disease	Mitophagy - animal
hsa05012	hsa04141	0.886	Parkinson disease	Protein processing in endoplasmic reticulum
hsa05012	hsa04714	0.887	Parkinson disease	Thermogenesis
hsa05012	hsa04722	0.87	Parkinson disease	Neurotrophin signaling pathway
hsa05012	hsa04723	0.847	Parkinson disease	Retrograde endocannabinoid signaling
hsa05012	hsa04728	0.879	Parkinson disease	Dopaminergic synapse
hsa05012	hsa04918	0.813	Parkinson disease	Thyroid hormone synthesis
hsa05012	hsa04922	0.847	Parkinson disease	Glucagon signaling pathway
hsa05012	hsa04932	0.893	Parkinson disease	Non-alcoholic fatty liver disease
hsa05012	hsa05010	0.935	Parkinson disease	Alzheimer disease
hsa05012	hsa05014	0.935	Parkinson disease	Amyotrophic lateral sclerosis
hsa05012	hsa05016	0.931	Parkinson disease	Huntington disease
hsa05012	hsa05017	0.884	Parkinson disease	Spinocerebellar ataxia
hsa05012	hsa05020	0.936	Parkinson disease	Prion disease
hsa05012	hsa05022	0.944	Parkinson disease	Pathways of neurodegeneration - multiple diseases
hsa05012	hsa05030	0.816	Parkinson disease	Cocaine addiction
hsa05012	hsa05031	0.833	Parkinson disease	Amphetamine addiction
hsa05012	hsa05034	0.86	Parkinson disease	Alcoholism
hsa05012	hsa05208	0.9	Parkinson disease	Chemical carcinogenesis - reactive oxygen species
hsa05012	hsa05214	0.84	Parkinson disease	Glioma
hsa05014	hsa04137	0.86	Amyotrophic lateral sclerosis	Mitophagy - animal
hsa05014	hsa04140	0.881	Amyotrophic lateral sclerosis	Autophagy - animal
hsa05014	hsa04141	0.888	Amyotrophic lateral sclerosis	Protein processing in endoplasmic reticulum
hsa05014	hsa04210	0.902	Amyotrophic lateral sclerosis	Apoptosis
hsa05014	hsa04621	0.892	Amyotrophic lateral sclerosis	NOD-like receptor signaling pathway
hsa05014	hsa04622	0.814	Amyotrophic lateral sclerosis	RIG-I-like receptor signaling pathway
hsa05014	hsa04932	0.896	Amyotrophic lateral sclerosis	Non-alcoholic fatty liver disease
hsa05014	hsa05010	0.943	Amyotrophic lateral sclerosis	Alzheimer disease
hsa05014	hsa05012	0.935	Amyotrophic lateral sclerosis	Parkinson disease
hsa05014	hsa05016	0.949	Amyotrophic lateral sclerosis	Huntington disease
hsa05014	hsa05017	0.895	Amyotrophic lateral sclerosis	Spinocerebellar ataxia
hsa05014	hsa05020	0.942	Amyotrophic lateral sclerosis	Prion disease
hsa05014	hsa05022	0.963	Amyotrophic lateral sclerosis	Pathways of neurodegeneration - multiple diseases
hsa05014	hsa05130	0.898	Amyotrophic lateral sclerosis	Pathogenic Escherichia coli infection
hsa05014	hsa05132	0.918	Amyotrophic lateral sclerosis	Salmonella infection
hsa05014	hsa05134	0.841	Amyotrophic lateral sclerosis	Legionellosis
hsa05014	hsa05145	0.874	Amyotrophic lateral sclerosis	Toxoplasmosis
hsa05014	hsa05164	0.883	Amyotrophic lateral sclerosis	Influenza A
hsa05014	hsa05208	0.899	Amyotrophic lateral sclerosis	Chemical carcinogenesis - reactive oxygen species
hsa05014	hsa05417	0.907	Amyotrophic lateral sclerosis	Lipid and atherosclerosis
hsa05016	hsa04137	0.846	Huntington disease	Mitophagy - animal
hsa05016	hsa04211	0.863	Huntington disease	Longevity regulating pathway
hsa05016	hsa04215	0.795	Huntington disease	Apoptosis - multiple species
hsa05016	hsa04714	0.891	Huntington disease	Thermogenesis
hsa05016	hsa04720	0.816	Huntington disease	Long-term potentiation
hsa05016	hsa04723	0.843	Huntington disease	Retrograde endocannabinoid signaling
hsa05016	hsa04728	0.854	Huntington disease	Dopaminergic synapse
hsa05016	hsa04922	0.833	Huntington disease	Glucagon signaling pathway
hsa05016	hsa04932	0.889	Huntington disease	Non-alcoholic fatty liver disease
hsa05016	hsa04962	0.772	Huntington disease	Vasopressin-regulated water reabsorption
hsa05016	hsa05010	0.932	Huntington disease	Alzheimer disease
hsa05016	hsa05012	0.931	Huntington disease	Parkinson disease
hsa05016	hsa05014	0.949	Huntington disease	Amyotrophic lateral sclerosis
hsa05016	hsa05017	0.908	Huntington disease	Spinocerebellar ataxia
hsa05016	hsa05020	0.931	Huntington disease	Prion disease
hsa05016	hsa05022	0.943	Huntington disease	Pathways of neurodegeneration - multiple diseases
hsa05016	hsa05030	0.805	Huntington disease	Cocaine addiction
hsa05016	hsa05031	0.821	Huntington disease	Amphetamine addiction
hsa05016	hsa05208	0.896	Huntington disease	Chemical carcinogenesis - reactive oxygen species
hsa05016	hsa05415	0.892	Huntington disease	Diabetic cardiomyopathy
hsa05017	hsa04020	0.877	Spinocerebellar ataxia	Calcium signaling pathway
hsa05017	hsa04022	0.887	Spinocerebellar ataxia	cGMP-PKG signaling pathway
hsa05017	hsa04024	0.885	Spinocerebellar ataxia	cAMP signaling pathway
hsa05017	hsa04140	0.903	Spinocerebellar ataxia	Autophagy - animal
hsa05017	hsa04211	0.884	Spinocerebellar ataxia	Longevity regulating pathway
hsa05017	hsa04218	0.89	Spinocerebellar ataxia	Cellular senescence
hsa05017	hsa04371	0.89	Spinocerebellar ataxia	Apelin signaling pathway
hsa05017	hsa04613	0.882	Spinocerebellar ataxia	Neutrophil extracellular trap formation
hsa05017	hsa04722	0.894	Spinocerebellar ataxia	Neurotrophin signaling pathway
hsa05017	hsa04725	0.888	Spinocerebellar ataxia	Cholinergic synapse
hsa05017	hsa04728	0.886	Spinocerebellar ataxia	Dopaminergic synapse
hsa05017	hsa04915	0.898	Spinocerebellar ataxia	Estrogen signaling pathway
hsa05017	hsa04935	0.897	Spinocerebellar ataxia	Growth hormone synthesis, secretion and action
hsa05017	hsa05010	0.905	Spinocerebellar ataxia	Alzheimer disease
hsa05017	hsa05012	0.884	Spinocerebellar ataxia	Parkinson disease
hsa05017	hsa05014	0.895	Spinocerebellar ataxia	Amyotrophic lateral sclerosis
hsa05017	hsa05016	0.908	Spinocerebellar ataxia	Huntington disease
hsa05017	hsa05020	0.901	Spinocerebellar ataxia	Prion disease
hsa05017	hsa05022	0.899	Spinocerebellar ataxia	Pathways of neurodegeneration - multiple diseases
hsa05017	hsa05415	0.877	Spinocerebellar ataxia	Diabetic cardiomyopathy
hsa05020	hsa04010	0.919	Prion disease	MAPK signaling pathway
hsa05020	hsa04210	0.904	Prion disease	Apoptosis
hsa05020	hsa04621	0.899	Prion disease	NOD-like receptor signaling pathway
hsa05020	hsa04915	0.896	Prion disease	Estrogen signaling pathway
hsa05020	hsa04932	0.919	Prion disease	Non-alcoholic fatty liver disease
hsa05020	hsa05010	0.952	Prion disease	Alzheimer disease
hsa05020	hsa05012	0.936	Prion disease	Parkinson disease
hsa05020	hsa05014	0.942	Prion disease	Amyotrophic lateral sclerosis
hsa05020	hsa05016	0.931	Prion disease	Huntington disease
hsa05020	hsa05017	0.901	Prion disease	Spinocerebellar ataxia
hsa05020	hsa05022	0.949	Prion disease	Pathways of neurodegeneration - multiple diseases
hsa05020	hsa05130	0.895	Prion disease	Pathogenic Escherichia coli infection
hsa05020	hsa05132	0.909	Prion disease	Salmonella infection
hsa05020	hsa05152	0.899	Prion disease	Tuberculosis
hsa05020	hsa05163	0.914	Prion disease	Human cytomegalovirus infection
hsa05020	hsa05169	0.894	Prion disease	Epstein-Barr virus infection
hsa05020	hsa05208	0.917	Prion disease	Chemical carcinogenesis - reactive oxygen species
hsa05020	hsa05415	0.925	Prion disease	Diabetic cardiomyopathy
hsa05020	hsa05417	0.923	Prion disease	Lipid and atherosclerosis
hsa05020	hsa05418	0.905	Prion disease	Fluid shear stress and atherosclerosis
hsa05022	hsa04010	0.924	Pathways of neurodegeneration - multiple diseases	MAPK signaling pathway
hsa05022	hsa04020	0.9	Pathways of neurodegeneration - multiple diseases	Calcium signaling pathway
hsa05022	hsa04210	0.9	Pathways of neurodegeneration - multiple diseases	Apoptosis
hsa05022	hsa04310	0.904	Pathways of neurodegeneration - multiple diseases	Wnt signaling pathway
hsa05022	hsa04621	0.903	Pathways of neurodegeneration - multiple diseases	NOD-like receptor signaling pathway
hsa05022	hsa04932	0.899	Pathways of neurodegeneration - multiple diseases	Non-alcoholic fatty liver disease
hsa05022	hsa05010	0.979	Pathways of neurodegeneration - multiple diseases	Alzheimer disease
hsa05022	hsa05012	0.944	Pathways of neurodegeneration - multiple diseases	Parkinson disease
hsa05022	hsa05014	0.963	Pathways of neurodegeneration - multiple diseases	Amyotrophic lateral sclerosis
hsa05022	hsa05016	0.943	Pathways of neurodegeneration - multiple diseases	Huntington disease
hsa05022	hsa05017	0.899	Pathways of neurodegeneration - multiple diseases	Spinocerebellar ataxia
hsa05022	hsa05020	0.949	Pathways of neurodegeneration - multiple diseases	Prion disease
hsa05022	hsa05130	0.903	Pathways of neurodegeneration - multiple diseases	Pathogenic Escherichia coli infection
hsa05022	hsa05132	0.922	Pathways of neurodegeneration - multiple diseases	Salmonella infection
hsa05022	hsa05163	0.922	Pathways of neurodegeneration - multiple diseases	Human cytomegalovirus infection
hsa05022	hsa05167	0.912	Pathways of neurodegeneration - multiple diseases	Kaposi sarcoma-associated herpesvirus infection
hsa05022	hsa05208	0.904	Pathways of neurodegeneration - multiple diseases	Chemical carcinogenesis - reactive oxygen species
hsa05022	hsa05225	0.898	Pathways of neurodegeneration - multiple diseases	Hepatocellular carcinoma
hsa05022	hsa05415	0.914	Pathways of neurodegeneration - multiple diseases	Diabetic cardiomyopathy
hsa05022	hsa05417	0.924	Pathways of neurodegeneration - multiple diseases	Lipid and atherosclerosis
hsa05030	hsa04024	0.864	Cocaine addiction	cAMP signaling pathway
hsa05030	hsa04080	0.861	Cocaine addiction	Neuroactive ligand-receptor interaction
hsa05030	hsa04211	0.853	Cocaine addiction	Longevity regulating pathway
hsa05030	hsa04713	0.887	Cocaine addiction	Circadian entrainment
hsa05030	hsa04720	0.88	Cocaine addiction	Long-term potentiation
hsa05030	hsa04722	0.86	Cocaine addiction	Neurotrophin signaling pathway
hsa05030	hsa04725	0.868	Cocaine addiction	Cholinergic synapse
hsa05030	hsa04728	0.906	Cocaine addiction	Dopaminergic synapse
hsa05030	hsa04911	0.859	Cocaine addiction	Insulin secretion
hsa05030	hsa04912	0.859	Cocaine addiction	GnRH signaling pathway
hsa05030	hsa04915	0.86	Cocaine addiction	Estrogen signaling pathway
hsa05030	hsa04916	0.864	Cocaine addiction	Melanogenesis
hsa05030	hsa04918	0.853	Cocaine addiction	Thyroid hormone synthesis
hsa05030	hsa04926	0.857	Cocaine addiction	Relaxin signaling pathway
hsa05030	hsa04927	0.857	Cocaine addiction	Cortisol synthesis and secretion
hsa05030	hsa04928	0.868	Cocaine addiction	Parathyroid hormone synthesis, secretion and action
hsa05030	hsa04934	0.856	Cocaine addiction	Cushing syndrome
hsa05030	hsa04935	0.865	Cocaine addiction	Growth hormone synthesis, secretion and action
hsa05030	hsa05031	0.915	Cocaine addiction	Amphetamine addiction
hsa05030	hsa05034	0.907	Cocaine addiction	Alcoholism
hsa05031	hsa04022	0.878	Amphetamine addiction	cGMP-PKG signaling pathway
hsa05031	hsa04024	0.881	Amphetamine addiction	cAMP signaling pathway
hsa05031	hsa04114	0.873	Amphetamine addiction	Oocyte meiosis
hsa05031	hsa04218	0.875	Amphetamine addiction	Cellular senescence
hsa05031	hsa04261	0.886	Amphetamine addiction	Adrenergic signaling in cardiomyocytes
hsa05031	hsa04713	0.917	Amphetamine addiction	Circadian entrainment
hsa05031	hsa04720	0.935	Amphetamine addiction	Long-term potentiation
hsa05031	hsa04725	0.886	Amphetamine addiction	Cholinergic synapse
hsa05031	hsa04728	0.941	Amphetamine addiction	Dopaminergic synapse
hsa05031	hsa04911	0.885	Amphetamine addiction	Insulin secretion
hsa05031	hsa04912	0.888	Amphetamine addiction	GnRH signaling pathway
hsa05031	hsa04915	0.874	Amphetamine addiction	Estrogen signaling pathway
hsa05031	hsa04916	0.875	Amphetamine addiction	Melanogenesis
hsa05031	hsa04921	0.889	Amphetamine addiction	Oxytocin signaling pathway
hsa05031	hsa04922	0.893	Amphetamine addiction	Glucagon signaling pathway
hsa05031	hsa04925	0.884	Amphetamine addiction	Aldosterone synthesis and secretion
hsa05031	hsa04928	0.873	Amphetamine addiction	Parathyroid hormone synthesis, secretion and action
hsa05031	hsa04935	0.877	Amphetamine addiction	Growth hormone synthesis, secretion and action
hsa05031	hsa05030	0.915	Amphetamine addiction	Cocaine addiction
hsa05031	hsa05034	0.924	Amphetamine addiction	Alcoholism
hsa05032	hsa04020	0.846	Morphine addiction	Calcium signaling pathway
hsa05032	hsa04024	0.842	Morphine addiction	cAMP signaling pathway
hsa05032	hsa04080	0.864	Morphine addiction	Neuroactive ligand-receptor interaction
hsa05032	hsa04540	0.846	Morphine addiction	Gap junction
hsa05032	hsa04713	0.88	Morphine addiction	Circadian entrainment
hsa05032	hsa04720	0.847	Morphine addiction	Long-term potentiation
hsa05032	hsa04723	0.892	Morphine addiction	Retrograde endocannabinoid signaling
hsa05032	hsa04724	0.881	Morphine addiction	Glutamatergic synapse
hsa05032	hsa04725	0.874	Morphine addiction	Cholinergic synapse
hsa05032	hsa04726	0.872	Morphine addiction	Serotonergic synapse
hsa05032	hsa04727	0.932	Morphine addiction	GABAergic synapse
hsa05032	hsa04728	0.856	Morphine addiction	Dopaminergic synapse
hsa05032	hsa04740	0.884	Morphine addiction	Olfactory transduction
hsa05032	hsa04742	0.905	Morphine addiction	Taste transduction
hsa05032	hsa04750	0.844	Morphine addiction	Inflammatory mediator regulation of TRP channels
hsa05032	hsa04911	0.844	Morphine addiction	Insulin secretion
hsa05032	hsa04924	0.854	Morphine addiction	Renin secretion
hsa05032	hsa04925	0.846	Morphine addiction	Aldosterone synthesis and secretion
hsa05032	hsa04970	0.851	Morphine addiction	Salivary secretion
hsa05032	hsa04971	0.856	Morphine addiction	Gastric acid secretion
hsa05033	hsa04020	0.731	Nicotine addiction	Calcium signaling pathway
hsa05033	hsa04024	0.704	Nicotine addiction	cAMP signaling pathway
hsa05033	hsa04080	0.81	Nicotine addiction	Neuroactive ligand-receptor interaction
hsa05033	hsa04713	0.751	Nicotine addiction	Circadian entrainment
hsa05033	hsa04720	0.74	Nicotine addiction	Long-term potentiation
hsa05033	hsa04721	0.748	Nicotine addiction	Synaptic vesicle cycle
hsa05033	hsa04723	0.78	Nicotine addiction	Retrograde endocannabinoid signaling
hsa05033	hsa04724	0.801	Nicotine addiction	Glutamatergic synapse
hsa05033	hsa04725	0.74	Nicotine addiction	Cholinergic synapse
hsa05033	hsa04726	0.74	Nicotine addiction	Serotonergic synapse
hsa05033	hsa04727	0.828	Nicotine addiction	GABAergic synapse
hsa05033	hsa04728	0.712	Nicotine addiction	Dopaminergic synapse
